Bomb Blasts Occurred,Building condition satisfactory,Color By Measure Value,Analysis Level Selector,Complete Primary Schools,Drinking water,Education score
41,43.37132574,82.4980732,Punjab,1100,92.86142771,64.7057683
41,51.61725067,91.90538608,Punjab,467,76.41509434,80.63259652
41,68.12749004,83.79437519,Punjab,925,92.74900398,68.9485938
41,52.58007117,83.72495885,Punjab,651,95.10676157,67.55415638
41,49.81862152,80.6300052,Punjab,576,75.09068924,69.11166797
41,65.35859269,88.50841586,Punjab,598,91.88092016,79.64897896
41,54.609375,72.35317354,Punjab,901,98.359375,66.69246005
41,74.09090909,81.5101739,Punjab,497,96.51515152,60.70671014
41,66.35135135,92.4913645,Punjab,,98.10810811,75.71867446
41,50.88852989,68.4738145,Punjab,904,78.59450727,68.18095362
41,53.53846154,91.50011294,Punjab,886,92.07692308,66.00211157
41,44.32234432,69.14661326,Punjab,1284,90.58084772,55.11998665
41,39.61248655,82.89001264,Punjab,431,88.91280947,73.44750316
41,58.35257891,85.59481594,Punjab,787,94.45727483,79.75287065
41,61.32075472,81.75348969,Punjab,803,90.25157233,70.49878909
41,57.77777778,69.66137359,Punjab,550,90.8496732,63.3403434
41,52.78602044,79.46999855,Punjab,1786,79.22848665,57.80291631
41,48.95738894,38.5421035,Punjab,571,74.07071623,43.43552587
41,54.62529274,83.83460866,Punjab,1181,68.44262295,80.8857355
41,64.98054475,89.15156846,Punjab,636,97.66536965,67.73372545
41,43.67160775,90.7598598,Punjab,1127,95.89509692,67.09829828
41,60.32906764,90.75511774,Punjab,818,90.40219378,73.9366961
41,55.75539568,88.580272,Punjab,1203,89.4655704,81.99923467
41,74.50980392,91.63646244,Punjab,673,94.88017429,76.26119894
41,73.4361611,86.62918826,Punjab,879,97.51499572,64.07396373
41,28.85069093,63.15609549,Sindh,147,39.06302663,45.48902387
41,15.81836327,46.94482245,Sindh,984,39.92015968,51.89453895
41,22.07931404,49.91763909,Sindh,633,58.78885316,48.28149311
41,42.1460177,80.00852093,Sindh,326,65.15486726,55.67608857
41,5.700549451,57.56603029,Sindh,426,27.74725275,46.42484091
41,11.70731707,64.06331458,Sindh,213,42.80487805,47.45957865
41,13.16793893,59.76472774,Sindh,696,47.64631043,46.79326527
41,39.28853755,84.11094682,Sindh,1509,63.08300395,63.40273671
41,7.940969782,52.77901399,Sindh,573,45.95924104,48.26767017
41,31.48367953,58.89169672,Sindh,358,71.63204748,55.11875751
41,24.93867539,63.68416993,Sindh,637,76.53311529,53.59395915
41,29.14466737,61.57106465,Sindh,5,67.37064414,44.2448495
41,23.62396493,61.91074508,Sindh,656,40.67218704,46.84018627
41,23.08730873,60.48459213,Sindh,937,70.56705671,53.8315647
41,24.83349191,60.05572447,Sindh,981,43.51411354,49.34518112
41,32.28593873,56.2724821,Sindh,741,57.22702278,51.43270386
41,13.61464968,59.47811777,Sindh,737,63.45541401,49.50286278
41,24.28687857,59.35651304,Sindh,301,73.75713121,50.02037826
41,33.20413437,53.87336245,Sindh,159,56.84754522,40.42042395
41,30.93306288,56.63315287,Sindh,0,56.18661258,38.51
41,29.5120062,68.55546306,Sindh,90,29.82184353,49.44511576
41,14.86401012,63.29252293,Sindh,26,18.56419987,39.17521407
41,34.09506399,58.1087108,Sindh,186,30.39305302,49.30634437
